STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENG,50SOCIAL,50REL. & MO,50MATHS,50SCIENCE,50COM,50FRE,50GAN,50CTECH,50CART,Student_ID
7315,17.0,12.0,55.0,18.0,39.0,30.0,13.0,29.0,18.0,25.0,8.5,6.0,27.5,9.0,19.5,15.0,6.5,14.5,9.0,12.5,ST0045
385,36.0,44.0,67.0,19.0,61.0,30.0,45.0,44.0,59.0,61.0,18.0,22.0,33.5,9.5,30.5,15.0,22.5,22.0,29.5,30.5,ST0058
A244,33.0,43.0,63.0,29.0,41.0,35.0,46.0,12.0,60.0,41.0,16.5,21.5,31.5,14.5,20.5,17.5,23.0,6.0,30.0,20.5,ST0046
433,31.0,45.0,54.0,19.0,30.0,27.0,49.0,21.0,58.0,39.0,15.5,22.5,27.0,9.5,15.0,13.5,24.5,10.5,29.0,19.5,ST0048
593,27.0,41.0,67.0,19.0,29.0,5.0,32.0,12.0,43.0,18.0,13.5,20.5,33.5,9.5,14.5,2.5,16.0,6.0,21.5,9.0,ST0050
388,50.0,52.0,74.0,32.0,45.0,55.0,46.0,62.0,75.0,45.0,25.0,26.0,37.0,16.0,22.5,27.5,23.0,31.0,37.5,22.5,ST0051
437,18.0,20.0,38.0,17.0,28.0,14.0,26.0,12.0,21.0,28.0,9.0,10.0,19.0,8.5,14.0,7.0,13.0,6.0,10.5,14.0,ST0059
709,35.0,29.0,61.0,26.0,34.0,27.0,29.0,39.0,41.0,33.0,17.5,14.5,30.5,13.0,17.0,13.5,14.5,19.5,20.5,16.5,ST0052
140,40.0,36.0,54.0,34.0,37.0,33.0,44.0,25.0,45.0,37.0,20.0,18.0,27.0,17.0,18.5,16.5,22.0,12.5,22.5,18.5,ST0053
4065,52.0,66.0,57.0,39.0,55.0,42.0,55.0,35.0,67.0,77.0,26.0,33.0,28.5,19.5,27.5,21.0,27.5,17.5,33.5,38.5,ST0054
616,71.0,72.0,81.0,41.0,77.0,58.0,59.0,60.0,76.0,55.0,35.5,36.0,40.5,20.5,38.5,29.0,29.5,30.0,38.0,27.5,ST0055
339,46.0,39.0,45.0,28.0,38.0,35.0,41.0,43.0,59.0,38.0,23.0,19.5,22.5,14.0,19.0,17.5,20.5,21.5,29.5,19.0,ST0056
