STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENG,50SOCIAL,50REL. & MO,50MATHS,50SCIENCE,50COM,50FRE,50GAN,50CTECH,50CART,Student_ID
A070,12.0,12.0,63.0,12.0,40.0,,30.0,14.0,5.0,27.0,6.0,6.0,31.5,6.0,20.0,0.0,15.0,7.0,2.5,13.5,ST0016
267,44.0,44.0,78.0,17.0,44.0,28.0,48.0,38.0,59.0,40.0,22.0,22.0,39.0,8.5,22.0,14.0,24.0,19.0,29.5,20.0,ST0017
503,45.0,45.0,80.0,24.0,24.0,13.0,39.0,52.0,56.0,42.0,22.5,22.5,40.0,12.0,12.0,6.5,19.5,26.0,28.0,21.0,ST0018
459,33.0,35.0,51.0,13.0,29.0,23.0,40.0,28.0,44.0,52.0,16.5,17.5,25.5,6.5,14.5,11.5,20.0,14.0,22.0,26.0,ST0019
436,23.0,23.0,49.0,17.0,32.0,8.0,19.0,13.0,32.0,21.0,11.5,11.5,24.5,8.5,16.0,4.0,9.5,6.5,16.0,10.5,ST0020
309,23.0,23.0,41.0,18.0,27.0,12.0,7.0,9.0,22.0,31.0,11.5,11.5,20.5,9.0,13.5,6.0,3.5,4.5,11.0,15.5,ST0021
645,27.0,27.0,47.0,23.0,29.0,24.0,33.0,21.0,32.0,37.0,13.5,13.5,23.5,11.5,14.5,12.0,16.5,10.5,16.0,18.5,ST0022
4070,32.0,32.0,73.0,18.0,47.0,30.0,46.0,28.0,52.0,39.0,16.0,16.0,36.5,9.0,23.5,15.0,23.0,14.0,26.0,19.5,ST0023
624,18.0,18.0,55.0,25.0,36.0,36.0,55.0,41.0,36.0,33.0,9.0,9.0,27.5,12.5,18.0,18.0,27.5,20.5,18.0,16.5,ST0024
387,26.0,26.0,66.0,23.0,46.0,21.0,38.0,29.0,35.0,39.0,13.0,13.0,33.0,11.5,23.0,10.5,19.0,14.5,17.5,19.5,ST0025
554,28.0,28.0,45.0,20.0,25.0,15.0,38.0,49.0,50.0,37.0,14.0,14.0,22.5,10.0,12.5,7.5,19.0,24.5,25.0,18.5,ST0026
365,32.0,32.0,69.0,9.0,34.0,16.0,39.0,37.0,35.0,37.0,16.0,16.0,34.5,4.5,17.0,8.0,19.5,18.5,17.5,18.5,ST0027
445,23.0,23.0,58.0,9.0,16.0,10.0,29.0,18.0,31.0,22.0,11.5,11.5,29.0,4.5,8.0,5.0,14.5,9.0,15.5,11.0,ST0028
A071,32.0,32.0,43.0,15.0,31.0,18.0,31.0,25.0,31.0,21.0,16.0,16.0,21.5,7.5,15.5,9.0,15.5,12.5,15.5,10.5,ST0029
511,43.0,43.0,65.0,27.0,44.0,31.0,34.0,28.0,44.0,39.0,21.5,21.5,32.5,13.5,22.0,15.5,17.0,14.0,22.0,19.5,ST0030
698,32.0,32.0,67.0,22.0,49.0,25.0,61.0,30.0,45.0,38.0,16.0,16.0,33.5,11.0,24.5,12.5,30.5,15.0,22.5,19.0,ST0031
432,42.0,42.0,82.0,22.0,61.0,31.0,49.0,54.0,54.0,37.0,21.0,21.0,41.0,11.0,30.5,15.5,24.5,27.0,27.0,18.5,ST0032
320,30.0,30.0,44.0,22.0,34.0,29.0,41.0,18.0,44.0,27.0,15.0,15.0,22.0,11.0,17.0,14.5,20.5,9.0,22.0,13.5,ST0033
2325,31.0,31.0,55.0,9.0,18.0,24.0,34.0,14.0,30.0,21.0,15.5,15.5,27.5,4.5,9.0,12.0,17.0,7.0,15.0,10.5,ST0034
272,30.0,30.0,60.0,14.0,14.0,20.0,38.0,20.0,27.0,34.0,15.0,15.0,30.0,7.0,7.0,10.0,19.0,10.0,13.5,17.0,ST0035
643,54.0,54.0,73.0,54.0,55.0,16.0,62.0,59.0,57.0,50.0,27.0,27.0,36.5,27.0,27.5,8.0,31.0,29.5,28.5,25.0,ST0036
4062,17.0,17.0,36.0,15.0,11.0,11.0,62.0,15.0,18.0,16.0,8.5,8.5,18.0,7.5,5.5,5.5,31.0,7.5,9.0,8.0,ST0037
670,27.0,27.0,76.0,23.0,45.0,19.0,27.0,29.0,39.0,35.0,13.5,13.5,38.0,11.5,22.5,9.5,13.5,14.5,19.5,17.5,ST0038
269,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ST0039
514,53.0,53.0,85.0,29.0,65.0,43.0,49.0,54.0,40.0,36.0,26.5,26.5,42.5,14.5,32.5,21.5,24.5,27.0,20.0,18.0,ST0040
270,27.0,20.0,40.0,13.0,32.0,20.0,38.0,21.0,33.0,34.0,13.5,10.0,20.0,6.5,16.0,10.0,19.0,10.5,16.5,17.0,ST0041
318,39.0,39.0,57.0,23.0,32.0,36.0,44.0,28.0,40.0,30.0,19.5,19.5,28.5,11.5,16.0,18.0,22.0,14.0,20.0,15.0,ST0042
4063,60.0,60.0,85.0,22.0,81.0,42.0,62.0,55.0,71.0,62.0,30.0,30.0,42.5,11.0,40.5,21.0,31.0,27.5,35.5,31.0,ST0043
160,42.0,42.0,71.0,11.0,25.0,20.0,37.0,43.0,44.0,39.0,21.0,21.0,35.5,5.5,12.5,10.0,18.5,21.5,22.0,19.5,ST0044
7315,29.0,29.0,61.0,14.0,35.0,17.0,35.0,33.0,38.0,23.0,14.5,14.5,30.5,7.0,17.5,8.5,17.5,16.5,19.0,11.5,ST0045
385,30.0,30.0,16.0,18.0,50.0,20.0,54.0,42.0,52.0,30.0,15.0,15.0,8.0,9.0,25.0,10.0,27.0,21.0,26.0,15.0,ST0058
A244,31.0,13.0,78.0,16.0,36.0,31.0,38.0,22.0,40.0,37.0,15.5,6.5,39.0,8.0,18.0,15.5,19.0,11.0,20.0,18.5,ST0046
508,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ST0047
433,31.0,31.0,82.0,18.0,33.0,27.0,29.0,41.0,47.0,40.0,15.5,15.5,41.0,9.0,16.5,13.5,14.5,20.5,23.5,20.0,ST0048
593,21.0,21.0,50.0,13.0,33.0,11.0,51.0,25.0,20.0,20.0,10.5,10.5,25.0,6.5,16.5,5.5,25.5,12.5,10.0,10.0,ST0050
388,60.0,60.0,88.0,23.0,55.0,41.0,51.0,67.0,50.0,47.0,30.0,30.0,44.0,11.5,27.5,20.5,25.5,33.5,25.0,23.5,ST0051
437,28.0,28.0,43.0,19.0,32.0,16.0,24.0,18.0,12.0,27.0,14.0,14.0,21.5,9.5,16.0,8.0,12.0,9.0,6.0,13.5,ST0059
709,40.0,40.0,76.0,12.0,22.0,13.0,55.0,34.0,56.0,31.0,20.0,20.0,38.0,6.0,11.0,6.5,27.5,17.0,28.0,15.5,ST0052
140,34.0,34.0,71.0,15.0,43.0,25.0,43.0,15.0,52.0,28.0,17.0,17.0,35.5,7.5,21.5,12.5,21.5,7.5,26.0,14.0,ST0053
4065,52.0,52.0,88.0,29.0,70.0,40.0,43.0,56.0,57.0,48.0,26.0,26.0,44.0,14.5,35.0,20.0,21.5,28.0,28.5,24.0,ST0054
616,60.0,60.0,95.0,31.0,81.0,54.0,65.0,64.0,75.0,68.0,30.0,30.0,47.5,15.5,40.5,27.0,32.5,32.0,37.5,34.0,ST0055
339,37.0,37.0,79.0,27.0,29.0,33.0,39.0,42.0,51.0,45.0,18.5,18.5,39.5,13.5,14.5,16.5,19.5,21.0,25.5,22.5,ST0056
768,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ST0057
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
