ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,Student_ID
32.0,32.0,43.0,15.0,31.0,18.0,31.0,25.0,31.0,21.0,ST0029
43.0,43.0,65.0,27.0,44.0,31.0,34.0,28.0,44.0,39.0,ST0030
32.0,32.0,67.0,22.0,49.0,25.0,61.0,30.0,45.0,38.0,ST0031
42.0,42.0,82.0,22.0,61.0,31.0,49.0,54.0,54.0,37.0,ST0032
30.0,30.0,44.0,22.0,34.0,29.0,41.0,18.0,44.0,27.0,ST0033
31.0,31.0,55.0,9.0,18.0,24.0,34.0,14.0,30.0,21.0,ST0034
30.0,30.0,60.0,14.0,14.0,20.0,38.0,20.0,27.0,34.0,ST0035
54.0,54.0,73.0,54.0,55.0,16.0,62.0,59.0,57.0,50.0,ST0036
17.0,17.0,36.0,15.0,11.0,11.0,62.0,15.0,18.0,16.0,ST0037
27.0,27.0,76.0,23.0,45.0,19.0,27.0,29.0,39.0,35.0,ST0038
,,,,,,,,,,ST0039
53.0,53.0,85.0,29.0,65.0,43.0,49.0,54.0,40.0,36.0,ST0040
27.0,20.0,40.0,13.0,32.0,20.0,38.0,21.0,33.0,34.0,ST0041
39.0,39.0,57.0,23.0,32.0,36.0,44.0,28.0,40.0,30.0,ST0042
60.0,60.0,85.0,22.0,81.0,42.0,62.0,55.0,71.0,62.0,ST0043
42.0,42.0,71.0,11.0,25.0,20.0,37.0,43.0,44.0,39.0,ST0044
29.0,29.0,61.0,14.0,35.0,17.0,35.0,33.0,38.0,23.0,ST0045
30.0,30.0,16.0,18.0,50.0,20.0,54.0,42.0,52.0,30.0,ST0058
31.0,13.0,78.0,16.0,36.0,31.0,38.0,22.0,40.0,37.0,ST0046
,,,,,,,,,,ST0047
31.0,31.0,82.0,18.0,33.0,27.0,29.0,41.0,47.0,40.0,ST0048
21.0,21.0,50.0,13.0,33.0,11.0,51.0,25.0,20.0,20.0,ST0050
60.0,60.0,88.0,23.0,55.0,41.0,51.0,67.0,50.0,47.0,ST0051
28.0,28.0,43.0,19.0,32.0,16.0,24.0,18.0,12.0,27.0,ST0059
40.0,40.0,76.0,12.0,22.0,13.0,55.0,34.0,56.0,31.0,ST0052
34.0,34.0,71.0,15.0,43.0,25.0,43.0,15.0,52.0,28.0,ST0053
52.0,52.0,88.0,29.0,70.0,40.0,43.0,56.0,57.0,48.0,ST0054
60.0,60.0,95.0,31.0,81.0,54.0,65.0,64.0,75.0,68.0,ST0055
37.0,37.0,79.0,27.0,29.0,33.0,39.0,42.0,51.0,45.0,ST0056
,,,,,,,,,,ST0057
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
